,0,1,2,3,4,5,6,7,8,9,10,11
121,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085
122,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326
123,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432
124,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865
125,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837
126,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857
127,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044
128,0.57365686,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044,0.53171575
129,0.49566725,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044,0.53171575,0.5636049
130,0.45545927,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044,0.53171575,0.5636049,0.6291161
131,0.43084922,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044,0.53171575,0.5636049,0.6291161,0.6034663
132,0.4863085,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044,0.53171575,0.5636049,0.6291161,0.6034663,0.545234
133,0.7556326,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044,0.53171575,0.5636049,0.6291161,0.6034663,0.545234,0.63154244
134,0.6263432,0.6013865,0.68734837,0.41039857,0.5175044,0.53171575,0.5636049,0.6291161,0.6034663,0.545234,0.63154244,0.5126516
