,humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1)
72,73.0,13.8,45.7,155.4,56.0,5.3,21.4,211.5,42.0,-2.4,3.0,164.1,0.6065858,0.6065858
73,56.0,5.3,21.4,211.5,42.0,-2.4,3.0,164.1,37.0,0.0,3.45,207.0,0.6065858,0.79029465
74,42.0,-2.4,3.0,164.1,37.0,0.0,3.45,207.0,38.0,3.3,0.5,207.0,0.79029465,0.64818025
75,37.0,0.0,3.45,207.0,38.0,3.3,0.5,207.0,27.0,9.7,6.0,260.0,0.64818025,0.8145581
76,38.0,3.3,0.5,207.0,27.0,9.7,6.0,260.0,36.0,1.4,37.7,219.0,0.8145581,0.5164645
77,27.0,9.7,6.0,260.0,36.0,1.4,37.7,219.0,43.0,21.8,12.3,267.0,0.5164645,0.7556326
78,36.0,1.4,37.7,219.0,43.0,21.8,12.3,267.0,59.0,23.5,103.4,181.0,0.7556326,0.6065858
79,43.0,21.8,12.3,267.0,59.0,23.5,103.4,181.0,65.0,27.4,54.9,250.0,0.6065858,0.69324094
80,59.0,23.5,103.4,181.0,65.0,27.4,54.9,250.0,72.0,25.6,74.3,207.0,0.69324094,0.6724437
81,65.0,27.4,54.9,250.0,72.0,25.6,74.3,207.0,61.0,20.4,50.7,232.0,0.6724437,0.6516465
82,72.0,25.6,74.3,207.0,61.0,20.4,50.7,232.0,49.0,10.6,22.6,226.0,0.6516465,0.0
83,61.0,20.4,50.7,232.0,49.0,10.6,22.6,226.0,39.0,3.3,16.5,220.0,0.0,0.558059
84,49.0,10.6,22.6,226.0,39.0,3.3,16.5,220.0,59.0,-3.0,7.7,32.0,0.558059,0.49913344
85,39.0,3.3,16.5,220.0,59.0,-3.0,7.7,32.0,45.0,-3.2,9.6,193.0,0.49913344,0.43674174
86,59.0,-3.0,7.7,32.0,45.0,-3.2,9.6,193.0,45.0,0.8,2.9,176.0,0.43674174,0.6169844
87,45.0,-3.2,9.6,193.0,45.0,0.8,2.9,176.0,50.0,6.2,32.8,158.0,0.6169844,0.63431543
88,45.0,0.8,2.9,176.0,50.0,6.2,32.8,158.0,45.0,15.2,13.0,210.0,0.63431543,0.7209706
89,50.0,6.2,32.8,158.0,45.0,15.2,13.0,210.0,60.0,20.9,30.6,215.0,0.7209706,0.42980936
90,45.0,15.2,13.0,210.0,60.0,20.9,30.6,215.0,53.0,24.6,66.1,240.0,0.42980936,0.63084924
91,60.0,20.9,30.6,215.0,53.0,24.6,66.1,240.0,68.0,26.0,57.7,156.0,0.63084924,0.43674174
92,53.0,24.6,66.1,240.0,68.0,26.0,57.7,156.0,64.0,26.1,34.1,214.0,0.43674174,0.6239168
93,68.0,26.0,57.7,156.0,64.0,26.1,34.1,214.0,71.0,20.5,87.9,158.0,0.6239168,0.3119584
94,64.0,26.1,34.1,214.0,71.0,20.5,87.9,158.0,52.0,13.1,66.8,212.0,0.3119584,0.5996534
95,71.0,20.5,87.9,158.0,52.0,13.1,66.8,212.0,56.0,3.4,42.9,122.0,0.5996534,0.5639515
96,52.0,13.1,66.8,212.0,56.0,3.4,42.9,122.0,36.0,0.2,0.1,205.0,0.5639515,0.6291161
97,56.0,3.4,42.9,122.0,36.0,0.2,0.1,205.0,36.0,-2.3,0.7,194.7,0.6291161,0.7334489
98,36.0,0.2,0.1,205.0,36.0,-2.3,0.7,194.7,34.0,2.9,8.8,213.5,0.7334489,0.7493934
99,36.0,-2.3,0.7,194.7,34.0,2.9,8.8,213.5,32.0,7.8,0.1,243.6,0.7493934,0.76707107
100,34.0,2.9,8.8,213.5,32.0,7.8,0.1,243.6,40.0,16.3,37.2,248.2,0.76707107,0.5892548
101,32.0,7.8,0.1,243.6,40.0,16.3,37.2,248.2,44.0,20.5,39.1,253.3,0.5892548,0.59341425
102,40.0,16.3,37.2,248.2,44.0,20.5,39.1,253.3,54.0,24.9,69.6,202.0,0.59341425,0.5386482
103,44.0,20.5,39.1,253.3,54.0,24.9,69.6,202.0,67.0,26.0,182.0,203.2,0.5386482,0.5785095
